text,label
"PNB: Debit Rs 1,499 from XX4521 for BESCOM electricity bill on 14-Mar. Balance: Rs 15,000. Txn Ref: PNB20250314.",not_fraud
"Your ICICI Bank account XX7823 credited Rs 649 on 15-Mar-2025. Available balance: Rs 25,000. If not done by you, call 1800-11-2211.",not_fraud
"Law firm notice: Client claims Rs 2,00,000 from you for breach of contract. Settle out of court for Rs 2,00,000 at legalsettlement.xyz by Friday.",fraud
"Jio: Your JioCinema Premium subscription renews tomorrow for Rs 6,800. No action needed if you want to continue.",not_fraud
"EPF withdrawal of Rs 1,199 rejected due to Aadhaar mismatch. Correct at epf-bank-verify.info or lose your claim permanently.",fraud
"Yes Bank: Your FD of Rs 78,000 is due for maturity on 20-Mar. Amount will be auto-renewed. To modify, call 1800-1200.",not_fraud
"EPF India: Rs 15,000 credited to your PF account for Feb 2025 (Employee+Employer share). Balance: Rs 65,000.",not_fraud
"Union Bank: ATM withdrawal Rs 1,00,000 on 13-Mar 4:32PM at Union Bank ATM Chennai. Bal: Rs 1,00,000. Card ending: 8821.",not_fraud
"Your CIBIL score has dropped to 492 due to incorrect entry. Pay Rs 50,000 to fix it at cibil-fix-wallet-verify.xyz. Loan approval depends on this.",fraud
"PM SVANidhi loan of Rs 15,000 pre-approved for you. Zero collateral. Pay Rs 2,499 processing fee at prize-claim.tk to disburse loan to your account.",fraud
"Library se kitab wapas kar di. Fine nahi lagi. Rs 35,000 Bach gaye. Let's get tea?",not_fraud
"HDFC Bank Security Team: Unauthorized withdrawal of Rs 45,000 attempted. Our agent will call. Please share OTP to block this transaction now.",fraud
"EPF withdrawal of Rs 7,500 rejected due to Aadhaar mismatch. Correct at epf-wallet-verify.xyz or lose your claim permanently.",fraud
"YouTube job: Like, subscribe, and comment on videos. Earn Rs 799-500 per task. Daily withdrawal to Paytm. Registration: Rs 699. Join: 9988776655.",fraud
SBI NetBanking Alert: We detected your password was compromised in a data breach. Reset immediately at http://hdfc-secure-claim-portal.info or account will lock.,fraud
"URGENT HIRING: Amazon India WFH data entry. Rs 1,00,000/month. Basic computer skills only. Pay Rs 499 security deposit. Register: amazon-jobs-india.xyz",fraud
PayTm OTP 673421 for Rs 649 payment at BigBazaar. Valid 10 mins. Paytm never asks for OTP.,not_fraud
"Swiggy One: Your subscription renews on 25-Mar for Rs 15,000. Cancel anytime from app settings before renewal date.",not_fraud
"YouTube job: Like, subscribe, and comment on videos. Earn Rs 1,00,000-500 per task. Daily withdrawal to Paytm. Registration: Rs 1,199. Join: 9988776655.",fraud
"732891 is your OTP for UPI txn of Rs 50,000 at Amazon.in. Valid 5 mins. Axis Bank never asks for OTP on call.",not_fraud
"EPF India: Rs 1,00,000 credited to your PF account for Feb 2025 (Employee+Employer share). Balance: Rs 18,000.",not_fraud
"Axis Bank: NEFT of Rs 25,000 to Rahul Kumar (Federal Bank XX2345) successful on 12-Mar. Ref: AX-NEFT-20250312-78234.",not_fraud
"BESCOM: Bill for Mar-2025 Rs 50,000. Consumer ID: 12345678. Due: 25-Mar. Pay at bescom.energy.kar.nic.in or app.",not_fraud
PUC Center: Vehicle KA-05-MX-1234 emission test due this month. Visit nearest PUCC. Valid last check: 15-Mar-2024.,not_fraud
"Amazon: Your return for order #402-1234567 (Sandisk 128GB) picked up. Refund Rs 15,000 within 3-5 business days.",not_fraud
"Covid relief fund: Rs 12,500 approved for your family under Central Relief Package. Register at covid-relief-india.info with Aadhaar to receive.",fraud
"EPF withdrawal of Rs 5,00,000 rejected due to Aadhaar mismatch. Correct at epf-account-secure.net or lose your claim permanently.",fraud
